Deal ID;Contract number;Contract date;Contract expiration date;Duration of the agreement (in years);Comment on contract
4464;;;;25;
4468;;2008-01-18;;35;
4496;;;;40;
4514;;2013;2038;25;
4519;;;;50;
4520;;;;25;
4521;EDSR17448;2013-06-11;;;Certificate of Occupancy No.EDSR17448, this certify that PRESCO Plc about land 14,436.823 hectares for Agriculture purpose only. Issued on June 11, 2013 by Governor of Edo State of Nigeria.
4521;;;;;Additional land acquired in 2016. No contract details available.
4555;;2006-03-17;3005-03-16;99;Original lease contract signed in 2006, taken over by Okomu Palm Oil in 2013
4556;;2002-01-15;;;
4557;97;2010-09-01;;8;
4563;;2005-06-23;;;
4566;;;;15;The ESIA states that it is a 99 year term.
4576;;2004-10-19;;;
4583;;;;50;
4596;;;;15;
4603;;2016;;49;long-term (49 year, renewable to 99 year) agriculture lease (Bail Emphyteotique signed between the Director General of Olam Gabon, the President of Republic of Gabon and Minister of Town Planning and Housing (Ministre de l’Urbanisme et du Logement)
4713;;;;99;
4727;;;;99;
4734;;;;10;
4749;;;;49;
4750;;;;49;
4752;;;;49;
4756;;;;49;
4803;Regent Decree of Kapuas No: 946/2006;2006-09-30;;;
4804;;2004-12-31;;;
4805;;2009-10-15;;;
4819;;;;5;
4847;;;;49;
4853;;;;49;
4856;;;;49;
4915;;;;49;
4927;;;;35;
4934;;;;50;
4940;;;;50;Renewable for extra 25 years
5055;;2015-01-04;;;
5055;;2013;2063;50;One concession in 2013, a second lease in 2016
5060;;;;50;Wanbao received a concession of 20,000 ha for a period of 50 years.
5096;;;;49;
5104;;;;20;
5129;;;;25;
5130;;;;5;
5133;;;;99;
5169;;2010-12-01;;50;
5170;;2014-09-01;;;
5179;;2012-04-23;;70;
5194;;;;50;
5196;;;;50;
5197;;;;70;
5201;;;;48;*In Oct 2011, Trouong Thanh Oji Plantation Company Limited was established with a 49% stake in Oji Paper and a 51% stake in TTF. The new company will have a plantable area of 17,000 ha and a project period of 48 years.
5252;;;;;Decision No. 3976 / QD-UBND dated August 13, 2015 of the City People's Committee  https://thoibaonganhang.vn/khan-truong-hoan-chinh-de-an-thanh-lap-khu-cong-nghe-cao-sinh-hoc-ha-noi-38410.html
5316;;;;99;
5378;;2014-07-15;;;"Size - 4,5795 ha
Cadastral number - 5325181700:00:003:0027
Territory - Chornychynskyi District, Poltavska Region.
Under the judicial decision this contract was recognised as unvalid  - 2015-07-17."
5378;;2015-02-25;;;"Size - 2,09 ha
Cadastral number - 5325182600:00:002:0117
Territory - Chornychynskyi District, Poltavska Region
Under the judicial decision this contract was recognised as unvalid  - 2017-08-17"
5385;;2016-04-20;;;
5396;;;;15;
5400;;;;70;
5445;;2010-04-23;;3;
5449;453;2005-10-18;;50;"- Decision No. 4038/QD-UBND about approval of the master plan of Da Deng Industrial Park in Binh Duong Urban – Industry-Service Complex Zone.
 
- Investment License No. 453/GP-BD issued on 18 October 2005 by People’s Committee of Binh Duong Province.
 
- Investment Certificate No. 462023000442 issued by Management Board of Binh Duong Industrial Parks, first revision on 28 April 2008.
 
- Investment Certificate No. 462023000442 issued by Management Board of Binh Duong Industrial Parks, sixth revision on 26 March 2010."
5472;537;2009-04-28;;;
5496;;;;50;
5511;1144;2010-04-22;;;
5519;;2012-08-17;2019-08-17;7;Sublease agreement.
5559;;2013;;99;
5568;;;;30;
5590;;;;60;
5605;;;;49;
5644;;2017-09-14;;50;
5729;;2006-10-19;2016-11-11;10;"Information is from judicial decision. 
Former land owner - State.
Size - 9 ha.
Monetary valuation of this land plot = 378   312, 91 hrn"
5815;;;;30;
5820;;;;50;
5850;;;;30;
5869;;2006;;;
5895;;;;99;
5908;;;;15;
5913;;;;30;
5942;;2017-02-07;;;"The Contract was signed between Company and Local government about lease of land: size - 4,6937 ha;  cadastral number №6320410100:00:006:0024; purpose use of this land is industrial, transport, communications, energy, defense and other land. (source - issued decision of local government)"
5976;;;;30;
6021;;;;5;
6071;1;2017-03-01;;;
6163;;2011-05-19;;;
6203;;2011-03-01;;50;
6245;;2004-07-20;;50;The provincial governments of Champasak and Salavan approved a 50-year rubber concession for the Dak Lak Rubber Company to invest US$32 million in developing 10,000 hectares of rubber, as well as thousands of hectares of coffee, cocoa and cashew trees (Thanh Nien News 2007). Final provincial approval for implementation was obtained in January 2005.
6316;;2011-01-08;;;
6339;;2010-01-08;;;
6518;;2006-04-05;;30;The Project was commenced on 05 April 2006 in the form of B.O.T (Building – Operation - Transfer) with 30 year term.
6523;;2013-02-06;;25;The project is under a 25 year Build-Own-Operate and Transfer (BOOT) concession agreement and a Power Purchase Agreement with EDL that will be valid until the end of the Concession period.
6525;;2014-03-04;;25;NPPC and Lao PDR singed a 25-year plant concession.
6536;;2010-08-20;;;
6546;;;;25;BOT project (build-operate-transfer)
6548;;;;75;75-year concession with possible 15-year extension
6562;;2011-11-08;;;
6591;;2015-08-07;;25;
6594;;;;75;concession agreement is for 75 years, extendable to 99 years
6598;;2012-10-19;;;Build-operate-transfer (BOT)
6620;;1960;;;Conveyance into perpetuity
6668;;2010-03-24;2017-03-24;7;"Cadastral number - 5923882300:09:001:0007; Size - 35,3158 ha; now there is the judicial process about updating the duration of the agreement for the next seven years."
6677;;;;25;Most of the agreements concluded for 25 years
6697;;2008-05-08;;40;
6712;;2009-08-30;2024-08-29;15;"The investor/ company has at least 104 leasing contracts with individual members of Nagkahiusang Mag-uuma sa Guinhalinan (NAGMASAGUICO) with a total land area of 237.14 hectares.

These contracts were signed from 2009 to 2012, which means that these contracts will expire from 2024 to 2027 with the 15-year AVA contract. However, there is the chance for it to be extended up to 25 years since land lease agreements are usually 25 years in terms of length.

The contracts are upon renewal on contract expiration."
6712;;2009-06-15;2024-06-14;15;"The investor/ company has at least 40 leasing contracts with individual members of Kinabigtasan Farmers Marketing Cooperative (KFMC) with a total land area of 116.67 hectares.

These contracts were signed from 2009 to 2012, which means that these contracts will expire from 2024 to 2027 with the 15-year AVA contract. However, there is the chance for it to be extended up to 25 years since land lease agreements are usually 25 years in terms of length.

The contracts are upon renewal on contract expiration."
6712;;2009-11-16;2024-11-17;15;"The investor/ company has at least 3 leasing contracts with individual members of Irrigator's Association (IA) with a total land area of 5.36 hectares.

These contracts were signed from 2009 to 2012, which means that these contracts will expire from 2024 to 2027 with the 15-year AVA contract. However, there is the chance for it to be extended up to 25 years since land lease agreements are usually 25 years in terms of length.

The contracts are upon renewal on contract expiration."
6717;;2002;2027;25;In Bukidnon, contract duration is the same for the 13 individual ARBs and CARABAO Farmers Cooperative (2002-2027) while for DMPI Employees Agrarian Reform Benefeciaries Cooperative Inc.  (DEARBCI) the contract duration is from 2014-2019 to 2039-2044.
6717;;2005;2035;30;In Agusan del Norte, the investor has a 30-year contract with Soriano Farm Workers Cooperative from 2005 to 2035 while it has a 25-year contract with Maong Integrated  Farmers Beneficiary Association (MIFA) from 2013-2018.
6718;;2005;2035;30;"In Davao City, the investor has a 15-year contract with Callawa - Bonggan Employees ARB Coop (CABEARBCO) from 2006 to 2021. 

It also has a 30-year contract with Callawa - Bonggan Employees ARB Coop (CABEARBCO) from 2005 to 2035."
6718;;2001;2021;20;In Bukidnon, it has a 20-year contract with CARP Beneficiaries of Brgy. Lingion, Manolo Fortich.
6718;;2003;2023;20;In North Cotabato, it has a 20-year contract with individual ARBs.
6718;;1995;2010;15;In North Cotabato, it has a 15-year contract with individual ARBs.
6723;;2004;2029;25;"The investor has 10-, 15-, 20-, and 25-year contracts with at least 8 individual ARBs.  The investor also has 15-year contract with LIFARCO- Formerly IFPONA PO. 25-year contracts with Bagong Silang Development Farmer Association (BASIDFA)  and Biao MPC (BMC) & PCEC-PBEARBAI. ote, however, that there is a chance for contracts with less than 25 year term to be extended up to 25 years since land lease  agreements are usually 25 years in terms of length. 

These contract are upon renewal upon expiration."
